claim_id,claim_text,surface,deliverable_key,owner,evidence_link,test_guard,status,last_verified,notes
C001,Full package scope is visible before payment,checkout,package_scope_display,ops,docs/CUSTOMER_TERMS.md,tests/test_package_scope_chain.py,approved,2026-06-29,Must stay aligned with terms and seeded deliverables
C002,Payment creates a brief flow and operator-visible intake,purchase_return,purchase_brief_flow,engineering,docs/ACCEPTANCE_CHECKLIST.md,e2e/launch-gate.spec.ts,approved,2026-06-29,Validate redirect and token issuance
C003,Portfolio examples are distinct in voice and layout,landing,showcase_examples,design,docs/PORTFOLIO_TEMPLATES.md,tests/test_portfolio_examples.py,approved,2026-06-29,No duplicated visual grammar across examples
C004,No internal ops language leaks to public pages,public_routes,public_content_firewall,engineering,docs/VOICE.md,tests/test_public_content_firewall.py,approved,2026-06-29,Block AI-heavy or internal terms
C005,Delivery kits exist for each package deliverable,ops_dashboard,delivery_kit_coverage,ops,docs/SHOWCASE_CLIENT_WORKFLOW.md,tests/test_sales_phase4b.py,approved,2026-06-29,Must include package-accurate templates
C006,Email handoff keeps brief links from being lost,ops_handoff,resend_delivery,engineering,docs/ACCEPTANCE_CHECKLIST.md,e2e/revenue-loop.spec.ts,draft,2026-06-29,Promote to approved after production resend pass
C007,Checkout is one-time payment with no recurring subscription,checkout,one_time_pricing,ops,app/templates/checkout.html,tests/test_legal.py,approved,2026-06-29,Keep pricing language synchronized with terms and Stripe products
C008,Included and not included deliverables are shown before Stripe,checkout,scope_visibility,ops,app/templates/checkout.html,tests/test_package_scope_chain.py,approved,2026-06-29,Prevent hidden upsell behavior
C009,Revision policy is explicit before purchase,checkout,revision_policy,ops,app/templates/checkout.html,tests/test_legal.py,approved,2026-06-29,Rounds and exclusions must remain clear
C010,Terms and privacy acceptance is required to continue to Stripe,checkout,terms_consent_gate,engineering,app/templates/checkout.html,tests/test_legal.py,approved,2026-06-29,Checkbox consent must remain mandatory
C011,No employment or interview outcomes are guaranteed,checkout,no_outcome_guarantee,legal,app/templates/checkout.html,tests/test_legal.py,approved,2026-06-29,Must remain present on legal notes
C012,Customers can view live portfolios before paying,landing,preview_before_checkout,design,app/templates/landing.html,tests/test_sales_phase4b.py,approved,2026-06-29,Showcase links must stay accessible
C013,Launch and Accelerator include resume and LinkedIn alignment,landing,launch_plus_scope,ops,app/sales_content.py,tests/test_package_scope_chain.py,approved,2026-06-29,Must match package config and checkout
C014,Client keeps ownership of GitHub email LinkedIn and domain accounts,landing,client_account_ownership,legal,app/sales_content.py,tests/test_public_content_firewall.py,approved,2026-06-29,Public copy cannot imply platform lock-in
C015,Scope is fixed at purchase with out-of-scope work requiring new quote,terms,scope_lock,legal,app/templates/terms.html,tests/test_legal.py,approved,2026-06-29,Legal source of truth
C016,Delivery timeline begins after complete validated intake not payment alone,terms,intake_starts_clock,legal,app/templates/terms.html,tests/test_legal.py,approved,2026-06-29,Must match checkout and acceptance docs
C017,Target windows are Foundation 5 max 10 Launch 7 max 14 Accelerator 10 max 21 business days,terms,delivery_window_policy,ops,app/templates/terms.html,tests/test_legal.py,approved,2026-06-29,Timelines pause conditions defined in terms
C018,Revision rounds are Foundation 1 Launch 2 Accelerator 3,terms,revision_round_caps,ops,app/templates/terms.html,tests/test_package_scope_chain.py,approved,2026-06-29,Must remain aligned with package config
C019,Refund policy is stage-based before work after work and post-handoff,terms,refund_policy,legal,app/templates/terms.html,tests/test_legal.py,approved,2026-06-29,Avoid ambiguous refund promises
C020,Delivery acceptance can occur by written approval or by elapsed no-dispute window,terms,acceptance_policy,legal,app/templates/terms.html,tests/test_legal.py,approved,2026-06-29,Ensure terms language remains intact
